INFO core.basesyntax.Main:26 Task duration was 150 ms, execution finished at 12:52:07.538025700
INFO core.basesyntax.Main:26 Task duration was 121 ms, execution finished at 12:52:07.538025700
INFO core.basesyntax.Main:26 Task duration was 301 ms, execution finished at 12:52:07.538025700
INFO core.basesyntax.Main:26 Task duration was 166 ms, execution finished at 12:52:07.538025700
INFO core.basesyntax.Main:26 Task duration was 318 ms, execution finished at 12:52:07.538025700
INFO core.basesyntax.Main:26 Task duration was 202 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 159 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 114 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 29 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 173 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 169 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 222 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 288 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 274 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 17 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 109 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 58 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 375 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 416 ms, execution finished at 12:52:07.542025300
INFO core.basesyntax.Main:26 Task duration was 385 ms, execution finished at 12:52:07.542025300
