INFO  core.basesyntax.Main:23 - Task duration was 8 ms, execution finished at 08:49:26.411722400
INFO  core.basesyntax.Main:23 - Task duration was 271 ms, execution finished at 08:49:26.411722400
INFO  core.basesyntax.Main:23 - Task duration was 317 ms, execution finished at 08:49:26.411722400
INFO  core.basesyntax.Main:23 - Task duration was 73 ms, execution finished at 08:49:26.411722400
INFO  core.basesyntax.Main:23 - Task duration was 214 ms, execution finished at 08:49:26.411722400
INFO  core.basesyntax.Main:23 - Task duration was 250 ms, execution finished at 08:49:26.427343900
INFO  core.basesyntax.Main:23 - Task duration was 5 ms, execution finished at 08:49:26.427343900
INFO  core.basesyntax.Main:23 - Task duration was 62 ms, execution finished at 08:49:26.427343900
INFO  core.basesyntax.Main:23 - Task duration was 196 ms, execution finished at 08:49:26.427343900
INFO  core.basesyntax.Main:23 - Task duration was 86 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 133 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 157 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 150 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 339 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 97 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 118 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 240 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 60 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 162 ms, execution finished at 08:49:26.442976400
INFO  core.basesyntax.Main:23 - Task duration was 203 ms, execution finished at 08:49:26.442976400
